Municipios > 100000 hab.;Sexo;Grupo de edad;Total
Madrid. Torrejón de Ardoz;ambos sexos;de 7 a 27 días;..
Madrid. Torrejón de Ardoz;ambos sexos;de 28 días a 2 meses;1
Madrid. Torrejón de Ardoz;ambos sexos;de 3 a 5 meses;1
Madrid. Torrejón de Ardoz;ambos sexos;de 6 a 8 meses;..
Madrid. Torrejón de Ardoz;ambos sexos;de 9 a 11 meses;..
Madrid. Torrejón de Ardoz;hombres;Total;1
Madrid. Torrejón de Ardoz;hombres;menos de 24 horas;..
Madrid. Torrejón de Ardoz;hombres;de 1 a 6 días;..
Madrid. Torrejón de Ardoz;hombres;de 7 a 27 días;..
Madrid. Torrejón de Ardoz;hombres;de 28 días a 2 meses;1
Madrid. Torrejón de Ardoz;hombres;de 3 a 5 meses;..
Madrid. Torrejón de Ardoz;hombres;de 6 a 8 meses;..
Madrid. Torrejón de Ardoz;hombres;de 9 a 11 meses;..
Madrid. Torrejón de Ardoz;mujeres;Total;1
Madrid. Torrejón de Ardoz;mujeres;menos de 24 horas;..
Madrid. Torrejón de Ardoz;mujeres;de 1 a 6 días;..
Madrid. Torrejón de Ardoz;mujeres;de 7 a 27 días;..
Madrid. Torrejón de Ardoz;mujeres;de 28 días a 2 meses;..
Madrid. Torrejón de Ardoz;mujeres;de 3 a 5 meses;1
Madrid. Torrejón de Ardoz;mujeres;de 6 a 8 meses;..
Madrid. Torrejón de Ardoz;mujeres;de 9 a 11 meses;..
Málaga. Marbella;ambos sexos;Total;3
Málaga. Marbella;ambos sexos;menos de 24 horas;..
Málaga. Marbella;ambos sexos;de 1 a 6 días;1
Málaga. Marbella;ambos sexos;de 7 a 27 días;1
Málaga. Marbella;ambos sexos;de 28 días a 2 meses;..
Málaga. Marbella;ambos sexos;de 3 a 5 meses;..
Málaga. Marbella;ambos sexos;de 6 a 8 meses;..
Málaga. Marbella;ambos sexos;de 9 a 11 meses;1
Málaga. Marbella;hombres;Total;2
Málaga. Marbella;hombres;menos de 24 horas;..
Málaga. Marbella;hombres;de 1 a 6 días;1
Málaga. Marbella;hombres;de 7 a 27 días;..
Málaga. Marbella;hombres;de 28 días a 2 meses;..
Málaga. Marbella;hombres;de 3 a 5 meses;..
Málaga. Marbella;hombres;de 6 a 8 meses;..
Málaga. Marbella;hombres;de 9 a 11 meses;1
Málaga. Marbella;mujeres;Total;1
Málaga. Marbella;mujeres;menos de 24 horas;..
Málaga. Marbella;mujeres;de 1 a 6 días;..
Málaga. Marbella;mujeres;de 7 a 27 días;1
Málaga. Marbella;mujeres;de 28 días a 2 meses;..
Málaga. Marbella;mujeres;de 3 a 5 meses;..
Málaga. Marbella;mujeres;de 6 a 8 meses;..
Málaga. Marbella;mujeres;de 9 a 11 meses;..
Murcia. Cartagena;ambos sexos;Total;5
Murcia. Cartagena;ambos sexos;menos de 24 horas;..
Murcia. Cartagena;ambos sexos;de 1 a 6 días;3
Murcia. Cartagena;ambos sexos;de 7 a 27 días;1
Murcia. Cartagena;ambos sexos;de 28 días a 2 meses;1
Murcia. Cartagena;ambos sexos;de 3 a 5 meses;..
Murcia. Cartagena;ambos sexos;de 6 a 8 meses;..
Murcia. Cartagena;ambos sexos;de 9 a 11 meses;..
Murcia. Cartagena;hombres;Total;1
Murcia. Cartagena;hombres;menos de 24 horas;..
Murcia. Cartagena;hombres;de 1 a 6 días;1
Murcia. Cartagena;hombres;de 7 a 27 días;..
Murcia. Cartagena;hombres;de 28 días a 2 meses;..
Murcia. Cartagena;hombres;de 3 a 5 meses;..
Murcia. Cartagena;hombres;de 6 a 8 meses;..
Murcia. Cartagena;hombres;de 9 a 11 meses;..
Murcia. Cartagena;mujeres;Total;4
Murcia. Cartagena;mujeres;menos de 24 horas;..
Murcia. Cartagena;mujeres;de 1 a 6 días;2
Murcia. Cartagena;mujeres;de 7 a 27 días;1
Murcia. Cartagena;mujeres;de 28 días a 2 meses;1
Murcia. Cartagena;mujeres;de 3 a 5 meses;..
Murcia. Cartagena;mujeres;de 6 a 8 meses;..
Murcia. Cartagena;mujeres;de 9 a 11 meses;..
Palmas, Las. Telde;ambos sexos;Total;1
Palmas, Las. Telde;ambos sexos;menos de 24 horas;1
Palmas, Las. Telde;ambos sexos;de 1 a 6 días;..
Palmas, Las. Telde;ambos sexos;de 7 a 27 días;..
Palmas, Las. Telde;ambos sexos;de 28 días a 2 meses;..
Palmas, Las. Telde;ambos sexos;de 3 a 5 meses;..
Palmas, Las. Telde;ambos sexos;de 6 a 8 meses;..
Palmas, Las. Telde;ambos sexos;de 9 a 11 meses;..
Palmas, Las. Telde;hombres;Total;1
Palmas, Las. Telde;hombres;menos de 24 horas;1
Palmas, Las. Telde;hombres;de 1 a 6 días;..
Palmas, Las. Telde;hombres;de 7 a 27 días;..
Palmas, Las. Telde;hombres;de 28 días a 2 meses;..
Palmas, Las. Telde;hombres;de 3 a 5 meses;..
Palmas, Las. Telde;hombres;de 6 a 8 meses;..
Palmas, Las. Telde;hombres;de 9 a 11 meses;..
Palmas, Las. Telde;mujeres;Total;..
Palmas, Las. Telde;mujeres;menos de 24 horas;..
Palmas, Las. Telde;mujeres;de 1 a 6 días;..
Palmas, Las. Telde;mujeres;de 7 a 27 días;..
Palmas, Las. Telde;mujeres;de 28 días a 2 meses;..
Palmas, Las. Telde;mujeres;de 3 a 5 meses;..
Palmas, Las. Telde;mujeres;de 6 a 8 meses;..
Palmas, Las. Telde;mujeres;de 9 a 11 meses;..
Pontevedra. Vigo;ambos sexos;Total;2
Pontevedra. Vigo;ambos sexos;menos de 24 horas;..
Pontevedra. Vigo;ambos sexos;de 1 a 6 días;..
Pontevedra. Vigo;ambos sexos;de 7 a 27 días;2
Pontevedra. Vigo;ambos sexos;de 28 días a 2 meses;..
Pontevedra. Vigo;ambos sexos;de 3 a 5 meses;..
Pontevedra. Vigo;ambos sexos;de 6 a 8 meses;..
Pontevedra. Vigo;ambos sexos;de 9 a 11 meses;..
Pontevedra. Vigo;hombres;Total;1
Pontevedra. Vigo;hombres;menos de 24 horas;..
Pontevedra. Vigo;hombres;de 1 a 6 días;..
Pontevedra. Vigo;hombres;de 7 a 27 días;1
Pontevedra. Vigo;hombres;de 28 días a 2 meses;..
Pontevedra. Vigo;hombres;de 3 a 5 meses;..
Pontevedra. Vigo;hombres;de 6 a 8 meses;..
Pontevedra. Vigo;hombres;de 9 a 11 meses;..
Pontevedra. Vigo;mujeres;Total;1
Pontevedra. Vigo;mujeres;menos de 24 horas;..
Pontevedra. Vigo;mujeres;de 1 a 6 días;..
Pontevedra. Vigo;mujeres;de 7 a 27 días;1
Pontevedra. Vigo;mujeres;de 28 días a 2 meses;..
Pontevedra. Vigo;mujeres;de 3 a 5 meses;..
Pontevedra. Vigo;mujeres;de 6 a 8 meses;..
Pontevedra. Vigo;mujeres;de 9 a 11 meses;..
Santa Cruz de Tenerife. San Cristóbal de La Laguna;ambos sexos;Total;5
Santa Cruz de Tenerife. San Cristóbal de La Laguna;ambos sexos;menos de 24 horas;..
Santa Cruz de Tenerife. San Cristóbal de La Laguna;ambos sexos;de 1 a 6 días;3
Santa Cruz de Tenerife. San Cristóbal de La Laguna;ambos sexos;de 7 a 27 días;..
Santa Cruz de Tenerife. San Cristóbal de La Laguna;ambos sexos;de 28 días a 2 meses;1
Santa Cruz de Tenerife. San Cristóbal de La Laguna;ambos sexos;de 3 a 5 meses;1
Santa Cruz de Tenerife. San Cristóbal de La Laguna;ambos sexos;de 6 a 8 meses;..
Santa Cruz de Tenerife. San Cristóbal de La Laguna;ambos sexos;de 9 a 11 meses;..
Santa Cruz de Tenerife. San Cristóbal de La Laguna;hombres;Total;4
Santa Cruz de Tenerife. San Cristóbal de La Laguna;hombres;menos de 24 horas;..
Santa Cruz de Tenerife. San Cristóbal de La Laguna;hombres;de 1 a 6 días;2
Santa Cruz de Tenerife. San Cristóbal de La Laguna;hombres;de 7 a 27 días;..
Santa Cruz de Tenerife. San Cristóbal de La Laguna;hombres;de 28 días a 2 meses;1
Santa Cruz de Tenerife. San Cristóbal de La Laguna;hombres;de 3 a 5 meses;1
Santa Cruz de Tenerife. San Cristóbal de La Laguna;hombres;de 6 a 8 meses;..
Santa Cruz de Tenerife. San Cristóbal de La Laguna;hombres;de 9 a 11 meses;..
Santa Cruz de Tenerife. San Cristóbal de La Laguna;mujeres;Total;1
Santa Cruz de Tenerife. San Cristóbal de La Laguna;mujeres;menos de 24 horas;..
Santa Cruz de Tenerife. San Cristóbal de La Laguna;mujeres;de 1 a 6 días;1
Santa Cruz de Tenerife. San Cristóbal de La Laguna;mujeres;de 7 a 27 días;..
Santa Cruz de Tenerife. San Cristóbal de La Laguna;mujeres;de 28 días a 2 meses;..
Santa Cruz de Tenerife. San Cristóbal de La Laguna;mujeres;de 3 a 5 meses;..
Santa Cruz de Tenerife. San Cristóbal de La Laguna;mujeres;de 6 a 8 meses;..
Santa Cruz de Tenerife. San Cristóbal de La Laguna;mujeres;de 9 a 11 meses;..
Sevilla. Dos Hermanas;ambos sexos;Total;4
Sevilla. Dos Hermanas;ambos sexos;menos de 24 horas;1
Sevilla. Dos Hermanas;ambos sexos;de 1 a 6 días;1
Sevilla. Dos Hermanas;ambos sexos;de 7 a 27 días;1
Sevilla. Dos Hermanas;ambos sexos;de 28 días a 2 meses;1
Sevilla. Dos Hermanas;ambos sexos;de 3 a 5 meses;..
Sevilla. Dos Hermanas;ambos sexos;de 6 a 8 meses;..
Sevilla. Dos Hermanas;ambos sexos;de 9 a 11 meses;..
Sevilla. Dos Hermanas;hombres;Total;2
Sevilla. Dos Hermanas;hombres;menos de 24 horas;..
Sevilla. Dos Hermanas;hombres;de 1 a 6 días;1
Sevilla. Dos Hermanas;hombres;de 7 a 27 días;..
Sevilla. Dos Hermanas;hombres;de 28 días a 2 meses;1
Sevilla. Dos Hermanas;hombres;de 3 a 5 meses;..
Sevilla. Dos Hermanas;hombres;de 6 a 8 meses;..
Sevilla. Dos Hermanas;hombres;de 9 a 11 meses;..
Sevilla. Dos Hermanas;mujeres;Total;2
Sevilla. Dos Hermanas;mujeres;menos de 24 horas;1
Sevilla. Dos Hermanas;mujeres;de 1 a 6 días;..
Sevilla. Dos Hermanas;mujeres;de 7 a 27 días;1
Sevilla. Dos Hermanas;mujeres;de 28 días a 2 meses;..
Sevilla. Dos Hermanas;mujeres;de 3 a 5 meses;..
Sevilla. Dos Hermanas;mujeres;de 6 a 8 meses;..
Sevilla. Dos Hermanas;mujeres;de 9 a 11 meses;..
Tarragona. Reus;ambos sexos;Total;..
Tarragona. Reus;ambos sexos;menos de 24 horas;..
Tarragona. Reus;ambos sexos;de 1 a 6 días;..
Tarragona. Reus;ambos sexos;de 7 a 27 días;..
Tarragona. Reus;ambos sexos;de 28 días a 2 meses;..
Tarragona. Reus;ambos sexos;de 3 a 5 meses;..
Tarragona. Reus;ambos sexos;de 6 a 8 meses;..
Tarragona. Reus;ambos sexos;de 9 a 11 meses;..
Tarragona. Reus;hombres;Total;..
Tarragona. Reus;hombres;menos de 24 horas;..
Tarragona. Reus;hombres;de 1 a 6 días;..
Tarragona. Reus;hombres;de 7 a 27 días;..
Tarragona. Reus;hombres;de 28 días a 2 meses;..
Tarragona. Reus;hombres;de 3 a 5 meses;..
Tarragona. Reus;hombres;de 6 a 8 meses;..
Tarragona. Reus;hombres;de 9 a 11 meses;..
Tarragona. Reus;mujeres;Total;..
Tarragona. Reus;mujeres;menos de 24 horas;..
Tarragona. Reus;mujeres;de 1 a 6 días;..
Tarragona. Reus;mujeres;de 7 a 27 días;..
Tarragona. Reus;mujeres;de 28 días a 2 meses;..
Tarragona. Reus;mujeres;de 3 a 5 meses;..
Tarragona. Reus;mujeres;de 6 a 8 meses;..
Tarragona. Reus;mujeres;de 9 a 11 meses;..
